iter	Passed	Remaining
1607	14241	3471
1608	14249	3462
1609	14257	3453
1610	14265	3444
1611	14273	3435
1612	14281	3426
1613	14289	3417
1614	14302	3409
1615	14324	3403
1616	14332	3394
1617	14341	3385
1618	14349	3376
1619	14357	3367
1620	14365	3358
1621	14373	3349
1622	14380	3340
1623	14389	3331
1624	14397	3322
1625	14404	3313
1626	14412	3304
1627	14420	3295
1628	14428	3286
1629	14436	3277
1630	14444	3268
1631	14453	3259
1632	14461	3250
1633	14469	3240
1634	14486	3233
1635	14496	3225
1636	14506	3216
1637	14515	3208
1638	14524	3199
1639	14532	3190
1640	14540	3181
1641	14548	3172
1642	14556	3162
1643	14564	3153
1644	14572	3144
1645	14580	3135
1646	14588	3126
1647	14596	3117
1648	14604	3108
1649	14613	3099
1650	14622	3090
1651	14630	3082
1652	14639	3073
1653	14648	3064
1654	14666	3057
1655	14674	3048
1656	14682	3039
1657	14690	3030
1658	14698	3021
1659	14706	3012
1660	14714	3003
1661	14722	2994
1662	14730	2985
1663	14738	2975
1664	14746	2967
1665	14754	2957
1666	14762	2948
1667	14770	2939
1668	14777	2930
